sat_id,toc,toe,af0,af1,af2,sqrtA,e,i0,Omega0,omega,M0,DeltaN,IDOT,Cuc,Cus,Crc,Crs,Cic,Cis,health,is_healthy,parse_status
C33,2026-04-01 05:00:00,277200.0,-0.000923746265471,2.879474436668e-12,0.0,38.45703125,0.0006278456421569,0.9868774147884,-2.115823105234,-0.09460905316682,1.599491867954,3.786050561346e-09,5.921675232971e-10,3.86405736208e-06,5.510635674e-06,262.09375,78.15625,3.259629011154e-08,3.632158041e-08,0.0,yes,ok
C33,2026-04-01 06:00:00,280800.0,-0.0009237362537533,2.847500013559e-12,0.0,33.04296875,0.0006274004117586,0.9868795755184,-2.115848178918,-0.09533090668634,2.087781504548,3.765335412762e-09,6.15739933754e-10,3.842636942863e-06,5.399808287621e-06,264.51953125,77.73828125,-1.210719347e-08,2.142041921616e-08,0.0,yes,ok
C33,2026-04-01 06:00:00,280800.0,-0.0009237362537533,2.847500013559e-12,0.0,33.04296875,0.0006274004117586,0.9868795755184,-2.115848178918,-0.09533090668634,2.087781504548,3.765335412762e-09,6.15739933754e-10,3.842636942863e-06,5.399808287621e-06,264.51953125,77.73828125,-1.210719347e-08,2.142041921616e-08,0.0,yes,ok
C33,2026-04-01 07:00:00,284400.0,-0.0009237264748663,2.802202914154e-12,0.0,36.064453125,0.0006272344617173,0.9868818730313,-2.115873101922,-0.09595814817347,2.575976126808,3.733548374419e-09,6.239545616406e-10,3.863126039505e-06,5.359761416912e-06,265.91015625,78.6640625,-2.793967723846e-09,-9.313225746155e-09,0.0,yes,ok
C33,2026-04-01 07:00:00,284400.0,-0.0009237264748663,2.802202914154e-12,0.0,36.064453125,0.0006272344617173,0.9868818730313,-2.115873101922,-0.09595814817347,2.575976126808,3.733548374419e-09,6.239545616406e-10,3.863126039505e-06,5.359761416912e-06,265.91015625,78.6640625,-2.793967723846e-09,-9.313225746155e-09,0.0,yes,ok
C33,2026-04-01 08:00:00,288000.0,-0.0009237163467333,2.807531984672e-12,0.0,49.576171875,0.0006270753219724,0.9868842605136,-2.115897875708,-0.09440331129398,3.061985791679,3.671760086403e-09,6.230616673051e-10,3.696419298649e-06,5.338340997696e-06,266.37890625,74.91796875,3.259629011154e-08,-3.725290298462e-09,0.0,yes,ok
C33,2026-04-01 08:00:00,288000.0,-0.0009237163467333,2.807531984672e-12,0.0,49.576171875,0.0006270753219724,0.9868842605136,-2.115897875708,-0.09440331129398,3.061985791679,3.671760086403e-09,6.230616673051e-10,3.696419298649e-06,5.338340997696e-06,266.37890625,74.91796875,3.259629011154e-08,-3.725290298462e-09,0.0,yes,ok
C33,2026-04-01 09:00:00,291600.0,-0.0009237061603926,2.810196519931e-12,0.0,49.328125,0.0006268656579778,0.9868866596992,-2.11592244176,-0.09380472690911,-2.734233111715,3.628722579432e-09,6.073467270004e-10,3.659166395664e-06,5.30481338501e-06,267.640625,73.7734375,2.98023223877e-08,4.563480615616e-08,0.0,yes,ok
C33,2026-04-01 09:00:00,291600.0,-0.0009237061603926,2.810196519931e-12,0.0,49.328125,0.0006268656579778,0.9868866596992,-2.11592244176,-0.09380472690911,-2.734233111715,3.628722579432e-09,6.073467270004e-10,3.659166395664e-06,5.30481338501e-06,267.640625,73.7734375,2.98023223877e-08,4.563480615616e-08,0.0,yes,ok
C33,2026-04-01 10:00:00,295200.0,-0.0009236957412213,2.838618229362e-12,0.0,37.552734375,0.000628003384918,0.9868889659896,-2.115946810318,-0.09461583306065,-2.245854111307,3.617472110805e-09,5.75559688657e-10,3.54740768671e-06,5.496665835381e-06,263.5625,71.3125,-2.98023223877e-08,4.842877388e-08,0.0,yes,ok
